record_id,package_name,record_time,foreground_time_usage,last_time_use,downloaded_data_kb,uploaded_data_kb,was_foreground,boot
12,com.facebook.katana,2015-05-06 13:37:39,00:00:04,2015-05-06 09:39:24,0.0,0.0,0,1
43,com.facebook.katana,2015-05-06 13:40:01,00:00:04,2015-05-06 09:39:24,6.123046875,5.1357421875,0,1
61,com.facebook.katana,2015-05-06 13:43:01,00:00:04,2015-05-06 09:39:24,0.263671875,0.263671875,0,1
69,com.facebook.katana,2015-05-06 13:44:01,00:00:04,2015-05-06 09:39:24,0.1953125,0.29296875,0,0
81,com.facebook.katana,2015-05-06 13:45:02,00:00:04,2015-05-06 09:39:24,5.8369140625,5.42578125,0,0
88,com.facebook.katana,2015-05-06 13:46:02,00:00:04,2015-05-06 09:39:24,0.265625,0.3115234375,0,0
95,com.facebook.katana,2015-05-06 13:48:01,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
101,com.facebook.katana,2015-05-06 13:50:01,00:00:04,2015-05-06 09:39:24,0.265625,0.3115234375,0,0
110,com.facebook.katana,2015-05-06 13:53:01,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
118,com.facebook.katana,2015-05-06 13:54:02,00:00:04,2015-05-06 09:39:24,0.234375,0.3515625,0,0
128,com.facebook.katana,2015-05-06 13:55:01,00:00:04,2015-05-06 09:39:24,2.5498046875,4.9677734375,0,0
130,com.facebook.katana,2015-05-06 13:56:01,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1015625,0,0
135,com.facebook.katana,2015-05-06 14:59:02,00:00:04,2015-05-06 09:39:24,3.8837890625,4.0654296875,0,0
139,com.facebook.katana,2015-05-06 15:01:01,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
142,com.facebook.katana,2015-05-06 15:02:02,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
146,com.facebook.katana,2015-05-06 15:03:01,00:00:04,2015-05-06 09:39:24,0.53125,0.623046875,0,0
