record_id,package_name,record_time,foreground_time_usage,last_time_use,downloaded_data,uploaded_data,avg_cpu_usage,max_cpu_usage,was_foreground,boot
7368,com.itunestoppodcastplayer.app,1430891581319,0,0,52,52,-1.0,-1,0,0
7371,com.itunestoppodcastplayer.app,1430891641363,0,0,144,104,-1.0,-1,0,0
7374,com.itunestoppodcastplayer.app,1430891761474,0,0,104,64,-1.0,-1,0,0
7377,com.itunestoppodcastplayer.app,1430891821503,0,0,0,364,-1.0,-1,0,0
7841,com.itunestoppodcastplayer.app,1430902261709,0,0,95410,6776,-1.0,-1,0,0
7843,com.itunestoppodcastplayer.app,1430902321741,0,0,1472,132,-1.0,-1,0,0
7847,com.itunestoppodcastplayer.app,1430902381762,0,0,40,0,-1.0,-1,0,0
7850,com.itunestoppodcastplayer.app,1430902561872,0,0,0,260,-1.0,-1,0,0
8333,com.itunestoppodcastplayer.app,1430913061681,0,0,851876,35078,-1.0,-1,0,0
8340,com.itunestoppodcastplayer.app,1430913121692,0,0,52,52,-1.0,-1,0,0
8345,com.itunestoppodcastplayer.app,1430913181719,0,0,144,104,-1.0,-1,0,0
8357,com.itunestoppodcastplayer.app,1430913301762,0,0,104,168,-1.0,-1,0,0
8360,com.itunestoppodcastplayer.app,1430913361768,0,0,0,312,-1.0,-1,0,0
9828,com.itunestoppodcastplayer.app,1430945401472,0,0,49036,3344,-1.0,-1,0,0
9832,com.itunestoppodcastplayer.app,1430945461677,0,0,28769366,320838,-1.0,-1,0,0
9834,com.itunestoppodcastplayer.app,1430945521905,0,0,6066000,55912,-1.0,-1,0,0
9838,com.itunestoppodcastplayer.app,1430945581926,0,0,5331236,39728,-1.0,-1,0,0
9840,com.itunestoppodcastplayer.app,1430945641965,0,0,6121500,32760,-1.0,-1,0,0
10353,com.itunestoppodcastplayer.app,1430956201928,0,0,7522477,40179,-1.0,-1,0,0
10355,com.itunestoppodcastplayer.app,1430956262001,0,0,816501,33427,-1.0,-1,0,0
10760,com.itunestoppodcastplayer.app,1430967121593,0,0,14227177,134230,-1.0,-1,0,0
10764,com.itunestoppodcastplayer.app,1430967181581,0,0,64456460,490284,-1.0,-1,0,0
10769,com.itunestoppodcastplayer.app,1430967241635,0,0,47643945,368208,-1.0,-1,0,0
10770,com.itunestoppodcastplayer.app,1430967301672,0,0,80,0,-1.0,-1,0,0
10774,com.itunestoppodcastplayer.app,1430967361734,0,0,172,456,-1.0,-1,0,0
11229,com.itunestoppodcastplayer.app,1430977861900,0,0,1020585,42246,-1.0,-1,0,0
11236,com.itunestoppodcastplayer.app,1430977921878,0,0,52,52,-1.0,-1,0,0
11341,com.itunestoppodcastplayer.app,1430980261989,18562,1430980234301,100963,17828,-1.0,-1,1,0
